Sentence,Noun,Gender,Case
"Es ist ein kleiner Schritt für den Menschen, aber ein grosser Schritt für die Menschheit.",Schritt,Masc,Nom
"Es ist ein kleiner Schritt für den Menschen, aber ein grosser Schritt für die Menschheit.",Menschheit,Fem,Acc
Dein Bruder ist sehr groß.,Bruder,Masc,Nom
Ich habe nur weiße Hemden.,Hemden,Fem,Acc
Ich habe rote Hände vor Kälte.,Hände,Fem,Acc
Ich habe rote Hände vor Kälte.,Kälte,Fem,Dat
Er trägt ein rotes Hemd.,Hemd,Neut,Acc
Ich hab ein grünes Auto.,Auto,Neut,Acc
Die Milch ist gelb geworden.,Milch,Fem,Nom
Der Himmel ist grau wegen der Abgase.,Himmel,Masc,Nom
Der Himmel ist grau wegen der Abgase.,Abgase,Fem,Gen
Kennst du den Namen dieser violetten Blume?,Namen,Masc,Acc
Kennst du den Namen dieser violetten Blume?,Blume,Masc,Gen
"Achtung, dieser Hund ist böse.",Achtung,Fem,Nom
"Achtung, dieser Hund ist böse.",Hund,Masc,Nom
Ich bin zu alt zum Reisen.,Reisen,Neut,Dat
Ich habe mich in den engen Gassen der Altstadt verlaufen.,Gassen,Fem,Dat
Ich habe mich in den engen Gassen der Altstadt verlaufen.,Altstadt,Fem,Gen
Die Straβe ist ziemlich breit für zwei Autos.,Straβe,Fem,Nom
Die Straβe ist ziemlich breit für zwei Autos.,Autos,Neut,Acc
Die Reise ist zu lang gewesen,Reise,Fem,Nom
"Mein Aufenthalt hier ist zu kurz gewesen, ich muss wiederkommen",Aufenthalt,Masc,Nom
Sie hat ein schönes Kleid gekauft.,Kleid,Neut,Acc
Dieses Schweizer Taschenmasser ist nützlich auf Reisen.,Taschenmasser,Masc,Nom
Dieses Schweizer Taschenmasser ist nützlich auf Reisen.,Reisen,Fem,Acc
Dieser Sprachkurs ist total nutzlos.,Sprachkurs,Masc,Nom
Diese Übung ist leicht.,Übung,Fem,Nom
Die Prüfungen waren eher schwierig dieses Jahr.,Prüfungen,Fem,Nom
Die Prüfungen waren eher schwierig dieses Jahr.,Jahr,Neut,Acc
Die effizientesten sind oft die einfachsten Lösungen.,effizientesten,Fem,Nom
Die effizientesten sind oft die einfachsten Lösungen.,Lösungen,Fem,Nom
"Er hat eine komplexe Persönlichkeit, das ist, was seinen Charme ausmacht.",Persönlichkeit,Fem,Acc
"Er hat eine komplexe Persönlichkeit, das ist, was seinen Charme ausmacht.",Charme,Masc,Acc
Der Hamster benimmt sich seltsam in den letzten Tagen.,Hamster,Masc,Nom
Der Hamster benimmt sich seltsam in den letzten Tagen.,Tagen,Masc,Dat
"Die Lösung war offensichtlich, sie lag auf der Hand.",Lösung,Fem,Nom
"Die Lösung war offensichtlich, sie lag auf der Hand.",Hand,Fem,Dat
Die Situation ist lustig.,Situation,Fem,Nom
"Er ist ein ausgezeichneter Schüler, aber er will nicht dafür arbeiten.",Schüler,Masc,Nom
"Dieser Professor ist mittelmäβig, aber wir haben keine Wahl.",Professor,Masc,Nom
"Dieser Professor ist mittelmäβig, aber wir haben keine Wahl.",Wahl,Fem,Acc
Die Büros der Firma befinden sich in einem alten Gebäude.,Büros,Neut,Nom
Die Büros der Firma befinden sich in einem alten Gebäude.,Firma,Fem,Gen
Die Büros der Firma befinden sich in einem alten Gebäude.,Gebäude,Neut,Dat
Das ist ein neuer Autor.,Autor,Masc,Nom
Die Kinder sind ruhiger nachdem sie ihren Mittagsschlaf gemacht haben.,Kinder,Neut,Nom
Die Kinder sind ruhiger nachdem sie ihren Mittagsschlaf gemacht haben.,Mittagsschlaf,Masc,Acc
Dieser Mann sieht verrückt aus.,Mann,Masc,Nom
Er trug eine beigefarbene Hose und ein weiβes Hemd.,Hose,Fem,Acc
Er trug eine beigefarbene Hose und ein weiβes Hemd.,Hemd,Neut,Acc
Die Tapeten in seiner Wohnung sind malvefarben.,Tapeten,Masc,Nom
Die Tapeten in seiner Wohnung sind malvefarben.,Wohnung,Fem,Dat
Die Tapeten in seiner Wohnung sind malvefarben.,malvefarben,Fem,Nom
Er hat braune Augen.,Augen,Neut,Acc
Die Häuser dieses Dorfes haben orangefarbene Türen.,Häuser,Neut,Nom
Die Häuser dieses Dorfes haben orangefarbene Türen.,Dorfes,Neut,Gen
Die Häuser dieses Dorfes haben orangefarbene Türen.,Türen,Fem,Acc
Das Wasser dieses Flusses ist fast durchsichtig.,Wasser,Neut,Nom
Das Wasser dieses Flusses ist fast durchsichtig.,Flusses,Masc,Gen
Er trägt sehr bunte Klamotten.,Klamotten,Fem,Acc
Die Zeichnung war ein bisschen abgestumpft.,Zeichnung,Fem,Nom
Die Zeichnung war ein bisschen abgestumpft.,bisschen,Neut,Nom
"Die Nacht bricht herein, die Straβe ist dunkel.",Nacht,Fem,Nom
"Die Nacht bricht herein, die Straβe ist dunkel.",Straβe,Fem,Nom
"Es ist unmöglich, unter diesen Bedingungen zu arbeiten.",Bedingungen,Fem,Dat
Er hatte weiβe Haut trotz des Urlaubs am Meer.,Urlaubs,Masc,Gen
Er hatte weiβe Haut trotz des Urlaubs am Meer.,Meer,Neut,Dat
Dieser Kuchen ist köstlich.,Kuchen,Masc,Nom
"Dieses Kleid steht dir gut, du bist sehr elegant.",Kleid,Neut,Nom
Er lebt in einem gemütlichen Haus am Meeresufer.,Haus,Neut,Dat
Er lebt in einem gemütlichen Haus am Meeresufer.,Meeresufer,Neut,Dat
Ein tödlicher Unfall ist auf der Autobahn passiert.,Unfall,Masc,Nom
Ein tödlicher Unfall ist auf der Autobahn passiert.,Autobahn,Fem,Dat
Dieses Gemälde ist wunderschön.,Gemälde,Neut,Nom
Es ist ein originelles Projekt.,Projekt,Neut,Nom
Er ist begabt in Mathematik.,Mathematik,Fem,Dat
Er ist ein auβergewöhnlicher Künstler mit einer groβen Zukunft.,Künstler,Masc,Nom
Er ist ein auβergewöhnlicher Künstler mit einer groβen Zukunft.,Zukunft,Fem,Dat
Deine Schwester war beeindruckend während des Tennisspiels.,Schwester,Fem,Nom
Deine Schwester war beeindruckend während des Tennisspiels.,Tennisspiels,Neut,Gen
Dein Sohn ist wirklich unerträglich,Sohn,Masc,Nom
Dieses Kleid ist vulgär.,Kleid,Neut,Nom
Dieses Hemd ist sauber.,Hemd,Neut,Nom
Er nahm sein eigenes Auto,Auto,Neut,Acc
"Die Wohnung ist schmutzig, es sollte geputzt werden",Wohnung,Fem,Nom
Dieses Restaurant ist eines der bekanntesten in Paris.,Restaurant,Neut,Nom
"Seine Rede war kurz, aber der Erfolg gigantisch.",Rede,Fem,Nom
"Seine Rede war kurz, aber der Erfolg gigantisch.",Erfolg,Masc,Nom
"Es ist absurd, den Führerschein machen zu wollen, ohne bereit zu sein.",Führerschein,Masc,Acc
Die Organisation in dieser Universität ist überwältigend.,Organisation,Fem,Nom
Die Organisation in dieser Universität ist überwältigend.,Universität,Fem,Dat
"Du hast die Torte zu lange im Ofen gelassen, sie ist komplett verbrannt.",Torte,Fem,Nom
"Du hast die Torte zu lange im Ofen gelassen, sie ist komplett verbrannt.",Ofen,Neut,Dat
"Achtung, die Platte ist glühend heiβ.",Achtung,Fem,Nom
"Achtung, die Platte ist glühend heiβ.",Platte,Fem,Nom
Magst du Zwiebeln roh oder gekocht?,Zwiebeln,Fem,Acc
Das Hühnchen ist zu gar.,Hühnchen,Neut,Nom
"Dieser Boden ist sehr fruchtbar, die Ernte wird gut sein.",Boden,Masc,Nom
"Dieser Boden ist sehr fruchtbar, die Ernte wird gut sein.",Ernte,Fem,Nom
"Seine Schwester ist sterilisiert, sie kann keine Kinder haben.",Schwester,Fem,Nom
"Seine Schwester ist sterilisiert, sie kann keine Kinder haben.",Kinder,Neut,Acc
"Diese Tasche ist schwer, kannst du mir helfen?",Tasche,Fem,Nom
"Dein Koffer ist leicht, lass ihn mich tragen.",Koffer,Masc,Nom
Ihr habt zu häufige Fehlzeiten.,Fehlzeiten,Fem,Acc
"Das ist eine sehr seltene Art, sie wurde seit 20 Jahren nicht gesehen.",Art,Fem,Nom
"Das ist eine sehr seltene Art, sie wurde seit 20 Jahren nicht gesehen.",Jahren,Neut,Dat
Dein Hemd ist lächerlich.,Hemd,Neut,Nom
Ich werde meine Familie nächsten Monat besuchen.,Familie,Fem,Acc
Ich werde meine Familie nächsten Monat besuchen.,Monat,Masc,Acc
"Das ist das letzte Mal, dass ich mit dem Bus verreise.",Mal,Neut,Nom
"Das ist das letzte Mal, dass ich mit dem Bus verreise.",Bus,Masc,Dat
Eine laute Explosion hat das Dorf geweckt.,Explosion,Fem,Nom
Eine laute Explosion hat das Dorf geweckt.,Dorf,Neut,Nom
Er ist machtlos in dieser Situation.,Situation,Fem,Dat
"Er hat vor die Prüfung zu bestehen. Das ist möglich, aber unwahrscheinlich.",Prüfung,Fem,Acc
Sein Erfolg ist wahrscheinlich.,Erfolg,Masc,Nom
Die Schwalben kehren in Zyklen zurück.,Schwalben,Masc,Nom
Die Schwalben kehren in Zyklen zurück.,Zyklen,Masc,Acc
Die Geduld ist eine wertvolle Gabe.,Geduld,Fem,Nom
Die Geduld ist eine wertvolle Gabe.,Gabe,Fem,Nom
"Das ist Privatbesitz, Eintritt verboten.",Privatbesitz,Masc,Nom
"Das ist Privatbesitz, Eintritt verboten.",Eintritt,Masc,Nom
Es ist verboten in öffentlichen Räumen zu rauchen.,Räumen,Masc,Dat
Ich bin mit sicher die Tür abgeschlossen zu haben.,Tür,Fem,Acc
Regelmäβiger Sport trägt mehr Früchte als sehr internsiver Sport.,Sport,Masc,Nom
Regelmäβiger Sport trägt mehr Früchte als sehr internsiver Sport.,Früchte,Fem,Acc
Regelmäβiger Sport trägt mehr Früchte als sehr internsiver Sport.,Sport,Masc,Nom
"Dieses Haus ist ein wenig rustikal, aber man kommt klar.",Haus,Neut,Nom
Die Niederlande sind ein flaches Land.,Land,Neut,Nom
Ich bin nicht schlank genug für dieses Kleid.,Kleid,Neut,Acc
"Diese Arbeit ist sehr ermüdend, ich werde bald wechseln.",Arbeit,Fem,Nom
Dieses Kind ist einzigartig.,Kind,Neut,Nom
Sie hört extrem auf ihre weibliche Intuition.,Intuition,Fem,Acc
Das ist ein sehr maskulines Mädchen.,Mädchen,Neut,Nom
Die Mutterliebe ist instinktiv.,Mutterliebe,Fem,Nom
Er hat gerade einen absoluten Rekord gebrochen.,Rekord,Masc,Acc
Er ist bis zur Hochzeit jungfräulich geblieben.,Hochzeit,Fem,Dat
Er führt ein gewöhnliches Leben.,Leben,Neut,Acc
Sie hat eine ungewöhnlich starke Fähigkeit alles zu vergessen.,Fähigkeit,Fem,Acc
Er ist schnell nach seiner Arbeit gekommen,Arbeit,Fem,Dat
Ganz plötzlich hat der Bus gebremst,Bus,Masc,Nom
Wir sind ziemlich beschäftigt in diesen Tagen.,Tagen,Masc,Dat
Er nimmt oft den Bus um zu kommen.,Bus,Masc,Acc
Man muss die Tür immer zweimal abschlieβen in diesem Viertel.,Tür,Fem,Acc
Man muss die Tür immer zweimal abschlieβen in diesem Viertel.,Viertel,Neut,Dat
Wir sind nie in den Urlaub gefahren.,Urlaub,Masc,Acc
Ich gehe hin und wieder ins Kino.,Kino,Neut,Acc
Er ist viel gereist in seiner Kindheit.,Kindheit,Fem,Dat
"Sie arbeiten wenig, aber Sie verdienen viel Geld.",Geld,Neut,Acc
Allgemein gehen wir vor Mitternacht ins Bett.,Mitternacht,Fem,Dat
Allgemein gehen wir vor Mitternacht ins Bett.,Bett,Neut,Acc
Ich bin gestern mit den Kindern in den Garten gegangen.,Kindern,Neut,Dat
Ich bin gestern mit den Kindern in den Garten gegangen.,Garten,Masc,Acc
Heute habe ich nichts Besonderes zu tun.,Besonderes,Neut,Acc
Mein Brief ist endlich angekommen.,Brief,Masc,Nom
Er wohnt weit vom Zentrum weg.,Zentrum,Neut,Dat
Es ist in der Nähe von eurem Zuhause passiert.,Nähe,Fem,Dat
Es ist in der Nähe von eurem Zuhause passiert.,Zuhause,Neut,Dat
"Je mehr ich darüber nachdenke, desto zufriedener bin ich mit meiner Entscheidung.",Entscheidung,Fem,Dat
"Geh woanders lesen, die Kleine soll schlafen.",Kleine,Fem,Nom
Er hat sein Essen fast aufgegessen.,Essen,Neut,Acc
Sie gehen morgen zusammen ins Kino.,Kino,Neut,Acc
Der Hund ist hinter dem Haus begraben.,Hund,Masc,Nom
Der Hund ist hinter dem Haus begraben.,Haus,Neut,Dat
"Er hat seine Jacke im Schrank gesucht, aber hat nicht daran gedacht da drauf zu suchen.",Jacke,Fem,Acc
"Er hat seine Jacke im Schrank gesucht, aber hat nicht daran gedacht da drauf zu suchen.",Schrank,Masc,Dat
"Mein Buch ist nicht mehr auf dem Tisch, es ist vielleicht da drunter.",Buch,Neut,Nom
"Mein Buch ist nicht mehr auf dem Tisch, es ist vielleicht da drunter.",Tisch,Masc,Dat
Lass die Katze nicht auf den Tisch.,Katze,Fem,Acc
Lass die Katze nicht auf den Tisch.,Tisch,Masc,Acc
Die Bank ist zwischen der Apotheke und der Bushaltestelle.,Bank,Fem,Nom
Die Bank ist zwischen der Apotheke und der Bushaltestelle.,Apotheke,Fem,Dat
Die Bank ist zwischen der Apotheke und der Bushaltestelle.,Bushaltestelle,Fem,Gen
Er ist eine Stunde vor der Aufführung angekommen.,Stunde,Fem,Acc
Er ist eine Stunde vor der Aufführung angekommen.,Aufführung,Fem,Dat
Dein Bruder kommt nach dem Essen vorbei.,Bruder,Masc,Nom
Dein Bruder kommt nach dem Essen vorbei.,Essen,Neut,Dat
Die Teller sind im Schrank neben den Gläsern.,Teller,Masc,Nom
Die Teller sind im Schrank neben den Gläsern.,Schrank,Masc,Dat
Die Teller sind im Schrank neben den Gläsern.,Gläsern,Neut,Dat
Wir haben nur zwei Kinder.,Kinder,Neut,Acc
Wollt ihr wirklich ins Kino?,Kino,Neut,Acc
Die Schwämme sind unter der Spüle.,Schwämme,Fem,Nom
Die Schwämme sind unter der Spüle.,Spüle,Fem,Dat
Was dein Studium angeht: wie sind deine Prüfungen gelaufen?,Studium,Neut,Acc
Was dein Studium angeht: wie sind deine Prüfungen gelaufen?,Prüfungen,Fem,Nom
Die Kinder haben die Spielzeuge ausserhalb der Kiste gelassen,Kinder,Neut,Nom
Die Kinder haben die Spielzeuge ausserhalb der Kiste gelassen,Spielzeuge,Neut,Acc
Die Kinder haben die Spielzeuge ausserhalb der Kiste gelassen,Kiste,Fem,Gen
Die Katze bleibt den ganzen Tag in dem Haus,Katze,Fem,Nom
Die Katze bleibt den ganzen Tag in dem Haus,Tag,Masc,Acc
Die Katze bleibt den ganzen Tag in dem Haus,Haus,Neut,Dat
Die Kinder spielen draußen.,Kinder,Neut,Nom
Der Reis ist in dem Kühlschrank,Reis,Masc,Nom
Der Reis ist in dem Kühlschrank,Kühlschrank,Masc,Dat
Ein Nachhilfelehrer gibt ihm regelmäßig Nachhilfe.,Nachhilfelehrer,Masc,Nom
Ein Nachhilfelehrer gibt ihm regelmäßig Nachhilfe.,Nachhilfe,Fem,Acc
"Er vergibt leicht, aber er vergisst nichts..",..,Neut,Acc
Die Schuldenkrise verschlimmert sich in jüngster Zeit.,Schuldenkrise,Fem,Nom
Die Schuldenkrise verschlimmert sich in jüngster Zeit.,Zeit,Fem,Dat
Er hat seine Arbeit auf intelligente Weise geplant.,Arbeit,Fem,Acc
Er hat seine Arbeit auf intelligente Weise geplant.,Weise,Fem,Acc
Ich kann dieses Wochenende eventuell vorbeikommen.,Wochenende,Neut,Acc
Montags gehe ich fröhlich zur Arbeit.,Arbeit,Fem,Dat
Sofort nach den Wahlen ist er in Urlaub gefahren.,Wahlen,Fem,Dat
Sofort nach den Wahlen ist er in Urlaub gefahren.,Urlaub,Masc,Acc
"Ich habe vollkommen vergessen, dir dein Buch mitzubringen.",Buch,Neut,Acc
Er hat die Stämme fest mit einem Seil zusammengebunden.,Stämme,Masc,Acc
Er hat die Stämme fest mit einem Seil zusammengebunden.,Seil,Masc,Dat
"Ganz ehrlich, glaubst du deine Meinung wird etwas ändern?",Meinung,Fem,Acc
Sein Sohn hat einfach sein Studium aufgegeben.,Sohn,Masc,Nom
Sein Sohn hat einfach sein Studium aufgegeben.,Studium,Neut,Acc
Die Heuschrecken zerstören regelmäßig den Anbau.,Heuschrecken,Fem,Nom
Die Heuschrecken zerstören regelmäßig den Anbau.,Anbau,Masc,Acc
Die Situation wird wahrscheinlich eskalieren.,Situation,Fem,Nom
Sie haben offenbar nicht auf die Provokation reagiert.,Provokation,Fem,Acc
Er fing seelenruhig wieder von vorne an mit der Rechnung.,Rechnung,Fem,Dat
Sie haben gestern Abend lange miteinander gesprochen und haben sich vertragen.,Abend,Masc,Acc
Das Land hat reichlich unter der Wirtschaftskrise gelitten,Land,Neut,Nom
Das Land hat reichlich unter der Wirtschaftskrise gelitten,Wirtschaftskrise,Fem,Dat
Es gibt sicherlich eine bessere Erklärung.,Erklärung,Fem,Acc
Genau aus diesem Grund bin ich nicht gekommen.,Grund,Masc,Dat
Er macht diese Geste ganz mechanisch.,Geste,Fem,Acc
"Hör zu, ich spreche ernsthaft mit dir.",Hör,Fem,Nom
Er hat seine Ländereien großzügig verteilt.,Ländereien,Fem,Acc
Die Mutter beschützt instinktiv ihr Kleines.,Mutter,Fem,Nom
Die Mutter beschützt instinktiv ihr Kleines.,Kleines,Neut,Nom
"Ich glaube, ich habe einen Panther gesehen.",Panther,Masc,Acc
Die Antilope hat vor dem Löwen reißaus genommen.,Antilope,Fem,Nom
Die Antilope hat vor dem Löwen reißaus genommen.,Löwen,Masc,Dat
Das Meerschweinchen ist ein Nagetier.,Meerschweinchen,Neut,Nom
Das Meerschweinchen ist ein Nagetier.,Nagetier,Masc,Nom
Der Hamster nagt an den Stäben seines Käfigs.,Hamster,Masc,Nom
Der Hamster nagt an den Stäben seines Käfigs.,Stäben,Fem,Dat
Der Hamster nagt an den Stäben seines Käfigs.,Käfigs,Masc,Gen
Die rosafarbenen Flamingos können in extremen Bedingungen leben.,Flamingos,Masc,Nom
Die rosafarbenen Flamingos können in extremen Bedingungen leben.,Bedingungen,Fem,Dat
Das Kaninchen versteckte sich in seinem Bau.,Kaninchen,Neut,Nom
Das Kaninchen versteckte sich in seinem Bau.,Bau,Masc,Dat
Der Hase wurde von den Scheinwerfern geblendet.,Hase,Masc,Nom
Der Hase wurde von den Scheinwerfern geblendet.,Scheinwerfern,Masc,Dat
Das Eichhörnchen sprang vom Baum.,Eichhörnchen,Neut,Nom
Das Eichhörnchen sprang vom Baum.,Baum,Masc,Dat
Die Gans stürzte sich auf den kleinen Jungen.,Jungen,Masc,Acc
Die Pute gluckste beim Anblick des Truthahns.,Pute,Fem,Nom
Die Pute gluckste beim Anblick des Truthahns.,Anblick,Masc,Dat
Die Pute gluckste beim Anblick des Truthahns.,Truthahns,Masc,Gen
Der Truthahn ist gestern Abend gegessen worden,Truthahn,Masc,Nom
Der Truthahn ist gestern Abend gegessen worden,Abend,Masc,Acc
Die Hirschkuh ist in Alarmbereitschaft,Hirschkuh,Fem,Nom
Die Hirschkuh ist in Alarmbereitschaft,Alarmbereitschaft,Fem,Dat
Der Hirsch wird von den Hunden verfolgt.,Hunden,Masc,Dat
Das Rehkitz saugt bei seiner Mutter.,Rehkitz,Masc,Nom
Das Rehkitz saugt bei seiner Mutter.,Mutter,Fem,Dat
Die Hyäne lacht laut höhnisch.,Hyäne,Masc,Nom
"Das Dromedar hat nur einen Höcker, im Gegensatz zum Kamel, welches zwei hat.",Dromedar,Neut,Nom
"Das Dromedar hat nur einen Höcker, im Gegensatz zum Kamel, welches zwei hat.",Höcker,Masc,Acc
"Das Dromedar hat nur einen Höcker, im Gegensatz zum Kamel, welches zwei hat.",Gegensatz,Masc,Dat
"Das Dromedar hat nur einen Höcker, im Gegensatz zum Kamel, welches zwei hat.",Kamel,Neut,Dat
Ein Stich vom Skorpion kann tödlich sein.,Stich,Masc,Nom
Ein Stich vom Skorpion kann tödlich sein.,Skorpion,Masc,Dat
Der Igel kugelte sich ein um sich zu beschützen.,Igel,Masc,Nom
Die Schildkröte zog ihren Kopf in ihren Panzer ein.,Schildkröte,Fem,Nom
Die Schildkröte zog ihren Kopf in ihren Panzer ein.,Kopf,Masc,Acc
Die Schildkröte zog ihren Kopf in ihren Panzer ein.,Panzer,Masc,Acc
Die Sprünge eines Kängurus können bis zu 30 Meter lang sein.,Sprünge,Masc,Nom
Die Sprünge eines Kängurus können bis zu 30 Meter lang sein.,Kängurus,Masc,Gen
Die Sprünge eines Kängurus können bis zu 30 Meter lang sein.,Meter,Masc,Acc
Die Koalas ernähren sich von Eukalyptusblättern.,Koalas,Masc,Nom
Die Koalas ernähren sich von Eukalyptusblättern.,Eukalyptusblättern,Neut,Dat
Der Flussbarsch des Nils hat viele Fische ausgerottet.,Flussbarsch,Masc,Nom
Der Flussbarsch des Nils hat viele Fische ausgerottet.,Nils,Masc,Gen
Der Flussbarsch des Nils hat viele Fische ausgerottet.,Fische,Masc,Acc
Der Karpfen ist ein gemeiner Fisch unserer Flüsse.,Karpfen,Masc,Nom
Der Karpfen ist ein gemeiner Fisch unserer Flüsse.,Fisch,Masc,Nom
Der Karpfen ist ein gemeiner Fisch unserer Flüsse.,Flüsse,Masc,Gen
Die Forellen sind Süßwasserfische.,Forellen,Fem,Nom
Die Forellen sind Süßwasserfische.,Süßwasserfische,Masc,Nom
Der Goldfisch hat ein schlechtes Gedächtnis.,Goldfisch,Masc,Nom
Der Goldfisch hat ein schlechtes Gedächtnis.,Gedächtnis,Neut,Acc
"Dein Kanarienvogel ist voller Milben, man muss ihn behandeln.",Kanarienvogel,Masc,Nom
"Dein Kanarienvogel ist voller Milben, man muss ihn behandeln.",Milben,Fem,Dat
Der Wassermolch kroch aus dem Tümpel.,Wassermolch,Masc,Nom
Der Wassermolch kroch aus dem Tümpel.,Tümpel,Masc,Dat
Blutegel haben einen besonders entwickelten Geruchssinn.,Blutegel,Masc,Nom
Blutegel haben einen besonders entwickelten Geruchssinn.,Geruchssinn,Masc,Acc
Aasgeier nutzen den Aufwind um sich fortzubewegen.,Aasgeier,Masc,Nom
Aasgeier nutzen den Aufwind um sich fortzubewegen.,Aufwind,Masc,Acc
Die Vorräte an Thunfisch haben sich in letzter Zeit minimiert.,Vorräte,Masc,Nom
Die Vorräte an Thunfisch haben sich in letzter Zeit minimiert.,Zeit,Fem,Dat
Möchtest du noch eine Scheibe Lachs nehmen?,Scheibe,Fem,Acc
"Diese Krabbe hat eine Schere, die größer ist als die andere.",Krabbe,Fem,Nom
"Diese Krabbe hat eine Schere, die größer ist als die andere.",Schere,Fem,Nom
Du isst sogar den Kopf der Garnele?,Kopf,Masc,Acc
Du isst sogar den Kopf der Garnele?,Garnele,Neut,Gen
Dein Sohn sammelt Muscheln am Strand.,Sohn,Masc,Nom
Dein Sohn sammelt Muscheln am Strand.,Muscheln,Fem,Acc
Dein Sohn sammelt Muscheln am Strand.,Strand,Masc,Dat
Die Schnecke kommt aus ihrem Haus.,Schnecke,Fem,Nom
Die Schnecke kommt aus ihrem Haus.,Haus,Neut,Dat
Das kleine Mädchen warf den Seestern in den Ozean.,Mädchen,Neut,Nom
Das kleine Mädchen warf den Seestern in den Ozean.,Seestern,Masc,Dat
Das kleine Mädchen warf den Seestern in den Ozean.,Ozean,Masc,Acc
Miesmuscheln werden in Belgien mit Pommes Frites gegessen.,Miesmuscheln,Fem,Nom
Miesmuscheln werden in Belgien mit Pommes Frites gegessen.,Frites,Neut,Dat
Austern werden lebend gegessen.,Austern,Masc,Nom
Der Tintenfisch hat Tinte abgesondert um seine Flucht zu erleichtern.,Tintenfisch,Masc,Nom
Der Tintenfisch hat Tinte abgesondert um seine Flucht zu erleichtern.,Tinte,Fem,Acc
