Sentence,Question,Options,Correct Answer
A significant amount of oil has spilt in the sea.,Is the word 'sea' a noun or a pronoun?,"Noun, Pronoun",Noun
He has been impressed by the cleanliness of his flat.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He has been impressed by the cleanliness of his flat.,Is the word 'cleanliness' a noun or a pronoun?,"Noun, Pronoun",Noun
He has been impressed by the cleanliness of his flat.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He has been impressed by the cleanliness of his flat.,Is the word 'flat' a noun or a pronoun?,"Noun, Pronoun",Noun
He is a very handsome young man.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He is a very handsome young man.,Is the word 'man' a noun or a pronoun?,"Noun, Pronoun",Noun
His mother makes very tasty pies.,Is the word 'His' a noun or a pronoun?,"Noun, Pronoun",Pronoun
His mother makes very tasty pies.,Is the word 'mother' a noun or a pronoun?,"Noun, Pronoun",Noun
His mother makes very tasty pies.,Is the word 'pies' a noun or a pronoun?,"Noun, Pronoun",Noun
Everything he said was true.,Is the word 'Everything' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Everything he said was true.,Is the word 'he' a noun or a pronoun?,"Noun, Pronoun",Pronoun
His calculations were wrong.,Is the word 'His' a noun or a pronoun?,"Noun, Pronoun",Pronoun
His calculations were wrong.,Is the word 'calculations' a noun or a pronoun?,"Noun, Pronoun",Noun
His joke was in bad taste.,Is the word 'His' a noun or a pronoun?,"Noun, Pronoun",Pronoun
His joke was in bad taste.,Is the word 'joke' a noun or a pronoun?,"Noun, Pronoun",Noun
His joke was in bad taste.,Is the word 'taste' a noun or a pronoun?,"Noun, Pronoun",Noun
We did not go to the beach because the weather was bad.,Is the word 'We' a noun or a pronoun?,"Noun, Pronoun",Pronoun
We did not go to the beach because the weather was bad.,Is the word 'beach' a noun or a pronoun?,"Noun, Pronoun",Noun
We did not go to the beach because the weather was bad.,Is the word 'weather' a noun or a pronoun?,"Noun, Pronoun",Noun
He gave the wrong answer.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He gave the wrong answer.,Is the word 'answer' a noun or a pronoun?,"Noun, Pronoun",Noun
This little dog is very ugly.,Is the word 'dog' a noun or a pronoun?,"Noun, Pronoun",Noun
It is a fast car but it is hard to drive.,Is the word 'It' a noun or a pronoun?,"Noun, Pronoun",Pronoun
It is a fast car but it is hard to drive.,Is the word 'car' a noun or a pronoun?,"Noun, Pronoun",Noun
It is a fast car but it is hard to drive.,Is the word 'it' a noun or a pronoun?,"Noun, Pronoun",Pronoun
This truck is very slow.,Is the word 'truck' a noun or a pronoun?,"Noun, Pronoun",Noun
It is very cold in his flat.,Is the word 'It' a noun or a pronoun?,"Noun, Pronoun",Pronoun
It is very cold in his flat.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
It is very cold in his flat.,Is the word 'flat' a noun or a pronoun?,"Noun, Pronoun",Noun
This dish is very hot.,Is the word 'dish' a noun or a pronoun?,"Noun, Pronoun",Noun
"The cat is too high, I cannot reach it.",Is the word 'cat' a noun or a pronoun?,"Noun, Pronoun",Noun
"The cat is too high, I cannot reach it.",Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"The cat is too high, I cannot reach it.",Is the word 'it' a noun or a pronoun?,"Noun, Pronoun",Pronoun
The level of the river is low because of the drought.,Is the word 'level' a noun or a pronoun?,"Noun, Pronoun",Noun
The level of the river is low because of the drought.,Is the word 'river' a noun or a pronoun?,"Noun, Pronoun",Noun
The level of the river is low because of the drought.,Is the word 'drought' a noun or a pronoun?,"Noun, Pronoun",Noun
The Marianas Trench is the deepest trench of the Pacific Ocean.,Is the word 'trench' a noun or a pronoun?,"Noun, Pronoun",Noun
His wound is only superficial.,Is the word 'His' a noun or a pronoun?,"Noun, Pronoun",Pronoun
His wound is only superficial.,Is the word 'wound' a noun or a pronoun?,"Noun, Pronoun",Noun
"That's one small step for a man, one giant leap for mankind.",Is the word 'That' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"That's one small step for a man, one giant leap for mankind.",Is the word 'step' a noun or a pronoun?,"Noun, Pronoun",Noun
"That's one small step for a man, one giant leap for mankind.",Is the word 'man' a noun or a pronoun?,"Noun, Pronoun",Noun
"That's one small step for a man, one giant leap for mankind.",Is the word 'leap' a noun or a pronoun?,"Noun, Pronoun",Noun
"That's one small step for a man, one giant leap for mankind.",Is the word 'mankind' a noun or a pronoun?,"Noun, Pronoun",Noun
You brother is very tall.,Is the word 'You' a noun or a pronoun?,"Noun, Pronoun",Pronoun
You brother is very tall.,Is the word 'brother' a noun or a pronoun?,"Noun, Pronoun",Noun
He always dresses in black.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I do not have any white shirt left.,Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I do not have any white shirt left.,Is the word 'shirt' a noun or a pronoun?,"Noun, Pronoun",Noun
My hands are red because of the cold.,Is the word 'My' a noun or a pronoun?,"Noun, Pronoun",Pronoun
My hands are red because of the cold.,Is the word 'hands' a noun or a pronoun?,"Noun, Pronoun",Noun
My hands are red because of the cold.,Is the word 'cold' a noun or a pronoun?,"Noun, Pronoun",Noun
He is wearing a blue shirt.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He is wearing a blue shirt.,Is the word 'shirt' a noun or a pronoun?,"Noun, Pronoun",Noun
I have a green car.,Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I have a green car.,Is the word 'car' a noun or a pronoun?,"Noun, Pronoun",Noun
The milk had turned yellow.,Is the word 'milk' a noun or a pronoun?,"Noun, Pronoun",Noun
The sky is grey due to the pollution.,Is the word 'sky' a noun or a pronoun?,"Noun, Pronoun",Noun
The sky is grey due to the pollution.,Is the word 'pollution' a noun or a pronoun?,"Noun, Pronoun",Noun
What is this purple flower called?,Is the word 'What' a noun or a pronoun?,"Noun, Pronoun",Pronoun
What is this purple flower called?,Is the word 'flower' a noun or a pronoun?,"Noun, Pronoun",Noun
"Be careful, this dog is nasty.",Is the word 'dog' a noun or a pronoun?,"Noun, Pronoun",Noun
He is kind only when he needs you.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He is kind only when he needs you.,Is the word 'he' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He is kind only when he needs you.,Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He travelled a lot when he was young.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He travelled a lot when he was young.,Is the word 'lot' a noun or a pronoun?,"Noun, Pronoun",Noun
He travelled a lot when he was young.,Is the word 'he' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I am too old to travel.,Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I lost myself in the narrow alleys of the old city.,Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I lost myself in the narrow alleys of the old city.,Is the word 'myself' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I lost myself in the narrow alleys of the old city.,Is the word 'alleys' a noun or a pronoun?,"Noun, Pronoun",Noun
I lost myself in the narrow alleys of the old city.,Is the word 'city' a noun or a pronoun?,"Noun, Pronoun",Noun
The road is wide enough for two cars.,Is the word 'road' a noun or a pronoun?,"Noun, Pronoun",Noun
The road is wide enough for two cars.,Is the word 'cars' a noun or a pronoun?,"Noun, Pronoun",Noun
"The trip was too long, I am exhausted.",Is the word 'trip' a noun or a pronoun?,"Noun, Pronoun",Noun
"The trip was too long, I am exhausted.",Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"My stay here has been too short, I have to come back.",Is the word 'My' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"My stay here has been too short, I have to come back.",Is the word 'stay' a noun or a pronoun?,"Noun, Pronoun",Noun
"My stay here has been too short, I have to come back.",Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
She is very beautiful but she does not realize it.,Is the word 'She' a noun or a pronoun?,"Noun, Pronoun",Pronoun
She is very beautiful but she does not realize it.,Is the word 'she' a noun or a pronoun?,"Noun, Pronoun",Pronoun
She is very beautiful but she does not realize it.,Is the word 'it' a noun or a pronoun?,"Noun, Pronoun",Pronoun
She bought a pretty dress.,Is the word 'She' a noun or a pronoun?,"Noun, Pronoun",Pronoun
She bought a pretty dress.,Is the word 'dress' a noun or a pronoun?,"Noun, Pronoun",Noun
This swiss knife is very useful when you travel.,Is the word 'knife' a noun or a pronoun?,"Noun, Pronoun",Noun
This swiss knife is very useful when you travel.,Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
This language class is completely useless.,Is the word 'language' a noun or a pronoun?,"Noun, Pronoun",Noun
This language class is completely useless.,Is the word 'class' a noun or a pronoun?,"Noun, Pronoun",Noun
This exercice is very easy.,Is the word 'exercice' a noun or a pronoun?,"Noun, Pronoun",Noun
Exams were rather tough this year.,Is the word 'Exams' a noun or a pronoun?,"Noun, Pronoun",Noun
Exams were rather tough this year.,Is the word 'year' a noun or a pronoun?,"Noun, Pronoun",Noun
The most efficient solutions are often the simplest ones.,Is the word 'solutions' a noun or a pronoun?,"Noun, Pronoun",Noun
The most efficient solutions are often the simplest ones.,Is the word 'ones' a noun or a pronoun?,"Noun, Pronoun",Noun
He has a complex personnality which is what makes him charming.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He has a complex personnality which is what makes him charming.,Is the word 'personnality' a noun or a pronoun?,"Noun, Pronoun",Noun
He has a complex personnality which is what makes him charming.,Is the word 'which' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He has a complex personnality which is what makes him charming.,Is the word 'what' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He has a complex personnality which is what makes him charming.,Is the word 'him' a noun or a pronoun?,"Noun, Pronoun",Pronoun
The hamster has been behaving strangely these last few days.,Is the word 'hamster' a noun or a pronoun?,"Noun, Pronoun",Noun
The hamster has been behaving strangely these last few days.,Is the word 'days' a noun or a pronoun?,"Noun, Pronoun",Noun
"The solution was obvious, it really jumped out at you.",Is the word 'solution' a noun or a pronoun?,"Noun, Pronoun",Noun
"The solution was obvious, it really jumped out at you.",Is the word 'it' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"The solution was obvious, it really jumped out at you.",Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He is amusing but he does not realise it.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He is amusing but he does not realise it.,Is the word 'he' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He is amusing but he does not realise it.,Is the word 'it' a noun or a pronoun?,"Noun, Pronoun",Pronoun
It's funny I cannot remember him.,Is the word 'It' a noun or a pronoun?,"Noun, Pronoun",Pronoun
It's funny I cannot remember him.,Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
It's funny I cannot remember him.,Is the word 'him' a noun or a pronoun?,"Noun, Pronoun",Pronoun
The situation was enjoyable.,Is the word 'situation' a noun or a pronoun?,"Noun, Pronoun",Noun
"He is an excellent pupil, but he does not want to study.",Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"He is an excellent pupil, but he does not want to study.",Is the word 'pupil' a noun or a pronoun?,"Noun, Pronoun",Noun
"He is an excellent pupil, but he does not want to study.",Is the word 'he' a noun or a pronoun?,"Noun, Pronoun",Pronoun
This teacher is mediocre but we have no choice.,Is the word 'teacher' a noun or a pronoun?,"Noun, Pronoun",Noun
This teacher is mediocre but we have no choice.,Is the word 'we' a noun or a pronoun?,"Noun, Pronoun",Pronoun
This teacher is mediocre but we have no choice.,Is the word 'choice' a noun or a pronoun?,"Noun, Pronoun",Noun
The offices of the company are located in an old building.,Is the word 'offices' a noun or a pronoun?,"Noun, Pronoun",Noun
The offices of the company are located in an old building.,Is the word 'company' a noun or a pronoun?,"Noun, Pronoun",Noun
The offices of the company are located in an old building.,Is the word 'building' a noun or a pronoun?,"Noun, Pronoun",Noun
He is a new author.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He is a new author.,Is the word 'author' a noun or a pronoun?,"Noun, Pronoun",Noun
Children are more quiet after a nap.,Is the word 'Children' a noun or a pronoun?,"Noun, Pronoun",Noun
Children are more quiet after a nap.,Is the word 'nap' a noun or a pronoun?,"Noun, Pronoun",Noun
This man looks crazy.,Is the word 'man' a noun or a pronoun?,"Noun, Pronoun",Noun
He was wearing a beige pair of trousers and a white shirt.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He was wearing a beige pair of trousers and a white shirt.,Is the word 'pair' a noun or a pronoun?,"Noun, Pronoun",Noun
He was wearing a beige pair of trousers and a white shirt.,Is the word 'trousers' a noun or a pronoun?,"Noun, Pronoun",Noun
He was wearing a beige pair of trousers and a white shirt.,Is the word 'shirt' a noun or a pronoun?,"Noun, Pronoun",Noun
The wallpapers of his house are mauve.,Is the word 'wallpapers' a noun or a pronoun?,"Noun, Pronoun",Noun
The wallpapers of his house are mauve.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
The wallpapers of his house are mauve.,Is the word 'house' a noun or a pronoun?,"Noun, Pronoun",Noun
The wallpapers of his house are mauve.,Is the word 'mauve' a noun or a pronoun?,"Noun, Pronoun",Noun
He has brown eyes.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He has brown eyes.,Is the word 'eyes' a noun or a pronoun?,"Noun, Pronoun",Noun
The houses of this village had orange doors.,Is the word 'houses' a noun or a pronoun?,"Noun, Pronoun",Noun
The houses of this village had orange doors.,Is the word 'village' a noun or a pronoun?,"Noun, Pronoun",Noun
The houses of this village had orange doors.,Is the word 'doors' a noun or a pronoun?,"Noun, Pronoun",Noun
The water of this river is almost transparent.,Is the word 'water' a noun or a pronoun?,"Noun, Pronoun",Noun
The water of this river is almost transparent.,Is the word 'river' a noun or a pronoun?,"Noun, Pronoun",Noun
He wears very coloured clothes.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He wears very coloured clothes.,Is the word 'clothes' a noun or a pronoun?,"Noun, Pronoun",Noun
The drawing was a little bit dull.,Is the word 'drawing' a noun or a pronoun?,"Noun, Pronoun",Noun
The drawing was a little bit dull.,Is the word 'bit' a noun or a pronoun?,"Noun, Pronoun",Noun
"Night is falling, the street is dark.",Is the word 'Night' a noun or a pronoun?,"Noun, Pronoun",Noun
"Night is falling, the street is dark.",Is the word 'street' a noun or a pronoun?,"Noun, Pronoun",Noun
It is impossible to work in these conditions.,Is the word 'It' a noun or a pronoun?,"Noun, Pronoun",Pronoun
It is impossible to work in these conditions.,Is the word 'conditions' a noun or a pronoun?,"Noun, Pronoun",Noun
He had a fair skin despite his holidays at the beach.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He had a fair skin despite his holidays at the beach.,Is the word 'skin' a noun or a pronoun?,"Noun, Pronoun",Noun
He had a fair skin despite his holidays at the beach.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He had a fair skin despite his holidays at the beach.,Is the word 'holidays' a noun or a pronoun?,"Noun, Pronoun",Noun
He had a fair skin despite his holidays at the beach.,Is the word 'beach' a noun or a pronoun?,"Noun, Pronoun",Noun
It was obvious that he was lying.,Is the word 'It' a noun or a pronoun?,"Noun, Pronoun",Pronoun
It was obvious that he was lying.,Is the word 'he' a noun or a pronoun?,"Noun, Pronoun",Pronoun
This cake is delicious.,Is the word 'cake' a noun or a pronoun?,"Noun, Pronoun",Noun
"This black dress suits you well, you are very stylish.",Is the word 'dress' a noun or a pronoun?,"Noun, Pronoun",Noun
"This black dress suits you well, you are very stylish.",Is the word 'suits' a noun or a pronoun?,"Noun, Pronoun",Noun
"This black dress suits you well, you are very stylish.",Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"This black dress suits you well, you are very stylish.",Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He lives in a pleasant house on the seashore.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He lives in a pleasant house on the seashore.,Is the word 'house' a noun or a pronoun?,"Noun, Pronoun",Noun
He lives in a pleasant house on the seashore.,Is the word 'seashore' a noun or a pronoun?,"Noun, Pronoun",Noun
My stepmother is particularly unpleasant.,Is the word 'My' a noun or a pronoun?,"Noun, Pronoun",Pronoun
My stepmother is particularly unpleasant.,Is the word 'stepmother' a noun or a pronoun?,"Noun, Pronoun",Noun
He knows how to be charming when he wants to be.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He knows how to be charming when he wants to be.,Is the word 'he' a noun or a pronoun?,"Noun, Pronoun",Pronoun
A fatal accident occured on the motorway.,Is the word 'accident' a noun or a pronoun?,"Noun, Pronoun",Noun
A fatal accident occured on the motorway.,Is the word 'motorway' a noun or a pronoun?,"Noun, Pronoun",Noun
This painting is magnificent.,Is the word 'painting' a noun or a pronoun?,"Noun, Pronoun",Noun
This is an original project.,Is the word 'This' a noun or a pronoun?,"Noun, Pronoun",Pronoun
This is an original project.,Is the word 'project' a noun or a pronoun?,"Noun, Pronoun",Noun
"To be efficient, you have to be motivated.",Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He is very unefficient when he does not sleep,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He is very unefficient when he does not sleep,Is the word 'he' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He is very gifted in mathematics.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He is very gifted in mathematics.,Is the word 'mathematics' a noun or a pronoun?,"Noun, Pronoun",Noun
He is an exceptionnal artist who has a bright future ahead of him.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He is an exceptionnal artist who has a bright future ahead of him.,Is the word 'artist' a noun or a pronoun?,"Noun, Pronoun",Noun
He is an exceptionnal artist who has a bright future ahead of him.,Is the word 'who' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He is an exceptionnal artist who has a bright future ahead of him.,Is the word 'future' a noun or a pronoun?,"Noun, Pronoun",Noun
He is an exceptionnal artist who has a bright future ahead of him.,Is the word 'him' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Something aweful happened.,Is the word 'Something' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Something aweful happened.,Is the word 'aweful' a noun or a pronoun?,"Noun, Pronoun",Noun
Your sister was impressive during the tennis game.,Is the word 'Your' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Your sister was impressive during the tennis game.,Is the word 'sister' a noun or a pronoun?,"Noun, Pronoun",Noun
Your sister was impressive during the tennis game.,Is the word 'tennis' a noun or a pronoun?,"Noun, Pronoun",Noun
Your sister was impressive during the tennis game.,Is the word 'game' a noun or a pronoun?,"Noun, Pronoun",Noun
Your son is really unbearable.,Is the word 'Your' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Your son is really unbearable.,Is the word 'son' a noun or a pronoun?,"Noun, Pronoun",Noun
This dress is vulgar.,Is the word 'dress' a noun or a pronoun?,"Noun, Pronoun",Noun
This shirt is clean.,Is the word 'shirt' a noun or a pronoun?,"Noun, Pronoun",Noun
He took his own car.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He took his own car.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He took his own car.,Is the word 'car' a noun or a pronoun?,"Noun, Pronoun",Noun
"The flat is dirty, it should be cleaned up.",Is the word 'flat' a noun or a pronoun?,"Noun, Pronoun",Noun
"The flat is dirty, it should be cleaned up.",Is the word 'it' a noun or a pronoun?,"Noun, Pronoun",Pronoun
This restaurant is among the most famous in Paris,Is the word 'restaurant' a noun or a pronoun?,"Noun, Pronoun",Noun
"His speech was short, but the success was thundering.",Is the word 'His' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"His speech was short, but the success was thundering.",Is the word 'speech' a noun or a pronoun?,"Noun, Pronoun",Noun
"His speech was short, but the success was thundering.",Is the word 'success' a noun or a pronoun?,"Noun, Pronoun",Noun
Wanting to take the driver's licence exam without being ready is absurd.,Is the word 'driver' a noun or a pronoun?,"Noun, Pronoun",Noun
Wanting to take the driver's licence exam without being ready is absurd.,Is the word 'licence' a noun or a pronoun?,"Noun, Pronoun",Noun
Wanting to take the driver's licence exam without being ready is absurd.,Is the word 'exam' a noun or a pronoun?,"Noun, Pronoun",Noun
He is not that different from the other ones.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He is not that different from the other ones.,Is the word 'ones' a noun or a pronoun?,"Noun, Pronoun",Noun
The organisation of this university is outrageous.,Is the word 'organisation' a noun or a pronoun?,"Noun, Pronoun",Noun
The organisation of this university is outrageous.,Is the word 'university' a noun or a pronoun?,"Noun, Pronoun",Noun
"You left the pie in the oven for too long, it is completely burnt now.",Is the word 'You' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"You left the pie in the oven for too long, it is completely burnt now.",Is the word 'pie' a noun or a pronoun?,"Noun, Pronoun",Noun
"You left the pie in the oven for too long, it is completely burnt now.",Is the word 'oven' a noun or a pronoun?,"Noun, Pronoun",Noun
"You left the pie in the oven for too long, it is completely burnt now.",Is the word 'it' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"Be careful, this dish is piping hot.",Is the word 'dish' a noun or a pronoun?,"Noun, Pronoun",Noun
Do you prefer onions raw or cooked?,Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Do you prefer onions raw or cooked?,Is the word 'onions' a noun or a pronoun?,"Noun, Pronoun",Noun
"This chicken is overcooked, it is inedible.",Is the word 'chicken' a noun or a pronoun?,"Noun, Pronoun",Noun
"This chicken is overcooked, it is inedible.",Is the word 'it' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"This soil is very fertile, the harvest will be good;",Is the word 'soil' a noun or a pronoun?,"Noun, Pronoun",Noun
"This soil is very fertile, the harvest will be good;",Is the word 'harvest' a noun or a pronoun?,"Noun, Pronoun",Noun
"His sister is sterile, she cannot have children.",Is the word 'His' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"His sister is sterile, she cannot have children.",Is the word 'sister' a noun or a pronoun?,"Noun, Pronoun",Noun
"His sister is sterile, she cannot have children.",Is the word 'she' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"His sister is sterile, she cannot have children.",Is the word 'children' a noun or a pronoun?,"Noun, Pronoun",Noun
"This bag is very heavy, could you help me?",Is the word 'bag' a noun or a pronoun?,"Noun, Pronoun",Noun
"This bag is very heavy, could you help me?",Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"This bag is very heavy, could you help me?",Is the word 'me' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"Your suitcase is light, let me carry it for you.",Is the word 'Your' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"Your suitcase is light, let me carry it for you.",Is the word 'suitcase' a noun or a pronoun?,"Noun, Pronoun",Noun
"Your suitcase is light, let me carry it for you.",Is the word 'me' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"Your suitcase is light, let me carry it for you.",Is the word 'it' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"Your suitcase is light, let me carry it for you.",Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Your absences are too frequent.,Is the word 'Your' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Your absences are too frequent.,Is the word 'absences' a noun or a pronoun?,"Noun, Pronoun",Noun
"It is a very rare species, it should be protected.",Is the word 'It' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"It is a very rare species, it should be protected.",Is the word 'species' a noun or a pronoun?,"Noun, Pronoun",Noun
"It is a very rare species, it should be protected.",Is the word 'it' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Your shirt is ridiculous.,Is the word 'Your' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Your shirt is ridiculous.,Is the word 'shirt' a noun or a pronoun?,"Noun, Pronoun",Noun
