Satz,Frage,Optionen,Richtige Antwort
Ich habe nur weiße Hemden.,Welcher Fall wird für das Wort 'Hemden' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Ich habe rote Hände vor Kälte.,Was ist das Geschlecht des Wortes 'Hände'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Ich habe rote Hände vor Kälte.,Welcher Fall wird für das Wort 'Hände' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Ich habe rote Hände vor Kälte.,Was ist das Geschlecht des Wortes 'Kälte'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Ich habe rote Hände vor Kälte.,Welcher Fall wird für das Wort 'Kälte' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Er trägt ein rotes Hemd.,Was ist das Geschlecht des Wortes 'Hemd'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Er trägt ein rotes Hemd.,Welcher Fall wird für das Wort 'Hemd' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Ich hab ein grünes Auto.,Was ist das Geschlecht des Wortes 'Auto'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Ich hab ein grünes Auto.,Welcher Fall wird für das Wort 'Auto' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Die Milch ist gelb geworden.,Was ist das Geschlecht des Wortes 'Milch'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Milch ist gelb geworden.,Welcher Fall wird für das Wort 'Milch' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Der Himmel ist grau wegen der Abgase.,Was ist das Geschlecht des Wortes 'Himmel'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Der Himmel ist grau wegen der Abgase.,Welcher Fall wird für das Wort 'Himmel' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Der Himmel ist grau wegen der Abgase.,Was ist das Geschlecht des Wortes 'Abgase'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Der Himmel ist grau wegen der Abgase.,Welcher Fall wird für das Wort 'Abgase' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Gen']
Kennst du den Namen dieser violetten Blume?,Was ist das Geschlecht des Wortes 'Namen'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Kennst du den Namen dieser violetten Blume?,Welcher Fall wird für das Wort 'Namen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Kennst du den Namen dieser violetten Blume?,Was ist das Geschlecht des Wortes 'Blume'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Kennst du den Namen dieser violetten Blume?,Welcher Fall wird für das Wort 'Blume' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Gen']
"Achtung, dieser Hund ist böse.",Was ist das Geschlecht des Wortes 'Achtung'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Achtung, dieser Hund ist böse.",Welcher Fall wird für das Wort 'Achtung' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Achtung, dieser Hund ist böse.",Was ist das Geschlecht des Wortes 'Hund'?,"['maskulin', 'feminin', 'neutral']",['Masc']
"Achtung, dieser Hund ist böse.",Welcher Fall wird für das Wort 'Hund' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Ich bin zu alt zum Reisen.,Was ist das Geschlecht des Wortes 'Reisen'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Ich bin zu alt zum Reisen.,Welcher Fall wird für das Wort 'Reisen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Ich habe mich in den engen Gassen der Altstadt verlaufen.,Was ist das Geschlecht des Wortes 'Gassen'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Ich habe mich in den engen Gassen der Altstadt verlaufen.,Welcher Fall wird für das Wort 'Gassen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Ich habe mich in den engen Gassen der Altstadt verlaufen.,Was ist das Geschlecht des Wortes 'Altstadt'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Ich habe mich in den engen Gassen der Altstadt verlaufen.,Welcher Fall wird für das Wort 'Altstadt' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Gen']
Die Straβe ist ziemlich breit für zwei Autos.,Was ist das Geschlecht des Wortes 'Straβe'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Straβe ist ziemlich breit für zwei Autos.,Welcher Fall wird für das Wort 'Straβe' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Die Straβe ist ziemlich breit für zwei Autos.,Was ist das Geschlecht des Wortes 'Autos'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Die Straβe ist ziemlich breit für zwei Autos.,Welcher Fall wird für das Wort 'Autos' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Die Reise ist zu lang gewesen,Was ist das Geschlecht des Wortes 'Reise'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Reise ist zu lang gewesen,Welcher Fall wird für das Wort 'Reise' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Mein Aufenthalt hier ist zu kurz gewesen, ich muss wiederkommen",Was ist das Geschlecht des Wortes 'Aufenthalt'?,"['maskulin', 'feminin', 'neutral']",['Masc']
"Mein Aufenthalt hier ist zu kurz gewesen, ich muss wiederkommen",Welcher Fall wird für das Wort 'Aufenthalt' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Sie hat ein schönes Kleid gekauft.,Was ist das Geschlecht des Wortes 'Kleid'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Sie hat ein schönes Kleid gekauft.,Welcher Fall wird für das Wort 'Kleid' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Dieses Schweizer Taschenmasser ist nützlich auf Reisen.,Was ist das Geschlecht des Wortes 'Taschenmasser'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Dieses Schweizer Taschenmasser ist nützlich auf Reisen.,Welcher Fall wird für das Wort 'Taschenmasser' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Dieses Schweizer Taschenmasser ist nützlich auf Reisen.,Was ist das Geschlecht des Wortes 'Reisen'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Dieses Schweizer Taschenmasser ist nützlich auf Reisen.,Welcher Fall wird für das Wort 'Reisen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Dieser Sprachkurs ist total nutzlos.,Was ist das Geschlecht des Wortes 'Sprachkurs'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Dieser Sprachkurs ist total nutzlos.,Welcher Fall wird für das Wort 'Sprachkurs' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Diese Übung ist leicht.,Was ist das Geschlecht des Wortes 'Übung'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Diese Übung ist leicht.,Welcher Fall wird für das Wort 'Übung' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Die Prüfungen waren eher schwierig dieses Jahr.,Was ist das Geschlecht des Wortes 'Prüfungen'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Prüfungen waren eher schwierig dieses Jahr.,Welcher Fall wird für das Wort 'Prüfungen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Die Prüfungen waren eher schwierig dieses Jahr.,Was ist das Geschlecht des Wortes 'Jahr'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Die Prüfungen waren eher schwierig dieses Jahr.,Welcher Fall wird für das Wort 'Jahr' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Die effizientesten sind oft die einfachsten Lösungen.,Was ist das Geschlecht des Wortes 'effizientesten'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die effizientesten sind oft die einfachsten Lösungen.,Welcher Fall wird für das Wort 'effizientesten' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Die effizientesten sind oft die einfachsten Lösungen.,Was ist das Geschlecht des Wortes 'Lösungen'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die effizientesten sind oft die einfachsten Lösungen.,Welcher Fall wird für das Wort 'Lösungen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Er hat eine komplexe Persönlichkeit, das ist, was seinen Charme ausmacht.",Was ist das Geschlecht des Wortes 'Persönlichkeit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Er hat eine komplexe Persönlichkeit, das ist, was seinen Charme ausmacht.",Welcher Fall wird für das Wort 'Persönlichkeit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
"Er hat eine komplexe Persönlichkeit, das ist, was seinen Charme ausmacht.",Was ist das Geschlecht des Wortes 'Charme'?,"['maskulin', 'feminin', 'neutral']",['Masc']
"Er hat eine komplexe Persönlichkeit, das ist, was seinen Charme ausmacht.",Welcher Fall wird für das Wort 'Charme' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
