Exercise,Options,Answer
It is a fast ______ but it is hard to drive.,"car, cars",car
This ______ is very slow.,"truck, trucks",truck
It is very cold in his ______.,"flat, flats",flat
This ______ is very hot.,"dish, dishes",dish
"The ______ is too high, I cannot reach it.","cat, cats",cat
The ______ of the river is low because of the drought.,"level, levels",level
The level of the ______ is low because of the drought.,"river, rivers",river
The level of the river is low because of the ______.,"drought, droughts",drought
The Marianas Trench is the deepest ______ of the Pacific Ocean.,"trench, trenches",trench
His ______ is only superficial.,"wound, wounds",wound
"That's one small ______ for a man, one giant leap for mankind.","step, steps",step
"That's one small step for a ______, one giant leap for ______kind.","man, men",man
"That's one small step for a man, one giant ______ for mankind.","leap, leaps",leap
You ______ is very tall.,"brother, brothers",brother
I do not have any white ______ left.,"shirt, shirts",shirt
My ______ are red because of the cold.,"hands, hand",hands
My hands are red because of the ______.,"cold, colds",cold
He is wearing a blue ______.,"shirt, shirts",shirt
I have a green ______.,"car, cars",car
The ______ had turned yellow.,"milk, milks",milk
The ______ is grey due to the pollution.,"sky, skies",sky
The sky is grey due to the ______.,"pollution, pollutions",pollution
What is this purple ______ called?,"flower, flowers",flower
"Be careful, this ______ is nasty.","dog, dogs",dog
He travelled a ______ when he was young.,"lot, lots",lot
I lost myself in the narrow ______ of the old city.,"alleys, alley",alleys
I lost myself in the narrow alleys of the old ______.,"city, cities",city
The ______ is wide enough for two cars.,"road, roads",road
The road is wide enough for two ______.,"cars, car",cars
"The ______ was too long, I am exhausted.","trip, trips",trip
"My ______ here has been too short, I have to come back.","stay, stays",stay
She bought a pretty ______.,"dress, dresses",dress
This swiss ______ is very useful when you travel.,"knife, knives",knife
This ______ class is completely useless.,"language, languages",language
This language ______ is completely useless.,"class, classes",class
This ______ is very easy.,"exercice, exercices",exercice
______ were rather tough this year.,"Exams, Examss",Exams
Exams were rather tough this ______.,"year, years",year
The most efficient ______ are often the simplest ones.,"solutions, solution",solutions
The most efficient solutions are often the simplest ______.,"ones, one",ones
He has a complex ______ which is what makes him charming.,"personnality, personnalities",personnality
The ______ has been behaving strangely these last few days.,"hamster, hamsters",hamster
The hamster has been behaving strangely these last few ______.,"days, day",days
"The ______ was obvious, it really jumped out at you.","solution, solutions",solution
The ______ was enjoyable.,"situation, situations",situation
"He is an excellent ______, but he does not want to study.","pupil, pupils",pupil
This ______ is mediocre but we have no choice.,"teacher, teachers",teacher
This teacher is mediocre but we have no ______.,"choice, choices",choice
The ______ of the company are located in an old building.,"offices, office",offices
The offices of the ______ are located in an old building.,"company, companies",company
The offices of the company are located in an old ______.,"building, buildings",building
He is a new ______.,"author, authors",author
______ are more quiet after a nap.,"Children, Childrens",Children
Children are more quiet after a ______.,"nap, naps",nap
This ______ looks crazy.,"man, men",man
He was wearing a beige ______ of trousers and a white shirt.,"pair, pairs",pair
He was wearing a beige pair of ______ and a white shirt.,"trousers, trousers",trousers
He was wearing a beige pair of trousers and a white ______.,"shirt, shirts",shirt
The ______ of his house are mauve.,"wallpapers, wallpaper",wallpapers
The wallpapers of his ______ are mauve.,"house, houses",house
The wallpapers of his house are ______.,"mauve, mauves",mauve
He has brown ______.,"eyes, eye",eyes
The ______ of this village had orange doors.,"houses, house",houses
The houses of this ______ had orange doors.,"village, villages",village
The houses of this village had orange ______.,"doors, door",doors
The ______ of this river is almost transparent.,"water, waters",water
The water of this ______ is almost transparent.,"river, rivers",river
He wears very coloured ______.,"clothes, clothe",clothes
The ______ was a little bit dull.,"drawing, drawings",drawing
The drawing was a little ______ dull.,"bit, bits",bit
"______ is falling, the street is dark.","Night, Nights",Night
"Night is falling, the ______ is dark.","street, streets",street
It is impossible to work in these ______.,"conditions, condition",conditions
He had a fair ______ despite his holidays at the beach.,"skin, skins",skin
He had a fair skin despite his ______ at the beach.,"holidays, holiday",holidays
He had a fair skin despite his holidays at the ______.,"beach, beaches",beach
This ______ is delicious.,"cake, cakes",cake
"This black ______ suits you well, you are very stylish.","dress, dresses",dress
"This black dress ______ you well, you are very stylish.","suits, suit",suits
He lives in a pleasant ______ on the seashore.,"house, houses",house
He lives in a pleasant house on the ______.,"seashore, seashores",seashore
My ______ is particularly unpleasant.,"stepmother, stepmothers",stepmother
A fatal ______ occured on the motorway.,"accident, accidents",accident
A fatal accident occured on the ______.,"motorway, motorways",motorway
This ______ is magnificent.,"painting, paintings",painting
This is an original ______.,"project, projects",project
He is very gifted in ______.,"mathematics, mathematic",mathematics
He is an exceptionnal ______ who has a bright future ahead of him.,"artist, artists",artist
He is an exceptionnal artist who has a bright ______ ahead of him.,"future, futures",future
Something ______ happened.,"aweful, awefuls",aweful
Your ______ was impressive during the tennis game.,"sister, sisters",sister
Your sister was impressive during the ______ game.,"tennis, tenni",tennis
Your sister was impressive during the tennis ______.,"game, games",game
Your ______ is really unbearable.,"son, sons",son
This ______ is vulgar.,"dress, dresses",dress
This ______ is clean.,"shirt, shirts",shirt
He took his own ______.,"car, cars",car
"The ______ is dirty, it should be cleaned up.","flat, flats",flat
This ______ is among the most famous in Paris,"restaurant, restaurants",restaurant
"His ______ was short, but the success was thundering.","speech, speeches",speech
"His speech was short, but the ______ was thundering.","success, successes",success
Wanting to take the ______'s licence exam without being ready is absurd.,"driver, drivers",driver
Wanting to take the driver's ______ exam without being ready is absurd.,"licence, licences",licence
Wanting to take the driver's licence ______ without being ready is absurd.,"exam, exams",exam
He is not that different from the other ______.,"ones, one",ones
The ______ of this university is outrageous.,"organisation, organisations",organisation
The organisation of this ______ is outrageous.,"university, universities",university
"You left the ______ in the oven for too long, it is completely burnt now.","pie, pies",pie
"You left the pie in the ______ for too long, it is completely burnt now.","oven, ovens",oven
"Be careful, this ______ is piping hot.","dish, dishes",dish
Do you prefer ______ raw or cooked?,"onions, onion",onions
"This ______ is overcooked, it is inedible.","chicken, chickens",chicken
"This ______ is very fertile, the harvest will be good;","soil, soils",soil
"This soil is very fertile, the ______ will be good;","harvest, harvests",harvest
"His ______ is sterile, she cannot have children.","sister, sisters",sister
"His sister is sterile, she cannot have ______.","children, childrens",children
"This ______ is very heavy, could you help me?","bag, bags",bag
"Your ______ is light, let me carry it for you.","suitcase, suitcases",suitcase
Your ______ are too frequent.,"absences, absence",absences
"It is a very rare ______, it should be protected.","species, species",species
Your ______ is ridiculous.,"shirt, shirts",shirt
I am visiting my ______ next month.,"family, families",family
I am visiting my family next ______.,"month, months",month
It is the last ______ I am travelling by bus.,"time, times",time
It is the last time I am travelling by ______.,"bus, buses",bus
A powerful ______ woke up the neighboorhood.,"explosion, explosions",explosion
A powerful explosion woke up the ______.,"neighboorhood, neighboorhoods",neighboorhood
He is helpless faced with this ______.,"situation, situations",situation
He thinks he passed this ______. Its is possible but not very likely.,"exam, exams",exam
His ______ is likely.,"success, successes",success
______ come back periodically.,"Swallows, Swallowss",Swallows
______ is a precious virtue,"Patience, Patiences",Patience
Patience is a precious ______,"virtue, virtues",virtue
"It is a private ______, it is forbidden to enter.","property, properties",property
______ is forbidden in public places.,"Smoking, Smokings",Smoking
Smoking is forbidden in public ______.,"places, place",places
I am sure I have locked the ______.,"door, doors",door
Practicing ______ regularly bears more fruit than practicing ______ intensively.,"sport, sports",sport
Practicing sport regularly bears more ______ than practicing sport intensively.,"fruit, fruits",fruit
Practicing ______ regularly bears more fruit than practicing ______ intensively.,"sport, sports",sport
"The ______ of this house is a bit rustic, but one gets used to it.","comfort, comforts",comfort
"The comfort of this ______ is a bit rustic, but one gets used to it.","house, houses",house
"The comfort of this house is a ______ rustic, but one gets used to it.","bit, bits",bit
The Netherlands is a flat ______.,"country, countries",country
They are very snobbish ______.,"people, peoples",people
I am not thin enough for this ______.,"dress, dresses",dress
This ______ is very agile.,"acrobat, acrobats",acrobat
"This ______ is very exhausting, I will change ______s soon.","job, jobs",job
"This job is very exhausting, I will change ______ soon.","jobs, job",jobs
This ______ is unique.,"kid, kids",kid
She listens to her feminine ______ too much.,"intuition, intuitions",intuition
She is a very masculine ______.,"girl, girls",girl
Maternal ______ is instinctive.,"love, loves",love
He just broke an absolute ______.,"record, records",record
He remained a ______ until the day he got married.,"virgin, virgins",virgin
He remained a virgin until the ______ he got married.,"day, days",day
He leads a very ordinary ______.,"life, lives",life
She has an extraordinary ______ to forget everything.,"ability, abilities",ability
He came quickly after his ______.,"work, works",work
"Suddenly, the ______ pulled up.","bus, buses",bus
"Most of the ______, he goes out on Saturday nights.","time, times",time
"Most of the time, he goes out on Saturday ______.","nights, night",nights
We are rather busy these ______.,"days, day",days
He seldom visits his ______.,"parents, parent",parents
He often takes the ______ to come.,"bus, buses",bus
You always have to double lock the ______ in this neighborhood.,"door, doors",door
You always have to double lock the door in this ______.,"neighborhood, neighborhoods",neighborhood
We never went on ______.,"holidays, holiday",holidays
I go to the ______ from times to times.,"cinema, cinemas",cinema
I go to the cinema from ______ to ______.,"times, time",times
I go to the cinema from ______ to ______.,"times, time",times
He travelled a ______ when he was young.,"lot, lots",lot
"You work little, but you earn a ______ of money.","lot, lots",lot
"You work little, but you earn a lot of ______.","money, monies",money
"Generally, we go to ______ before midnight.","bed, beds",bed
"Generally, we go to bed before ______.","midnight, midnights",midnight
I went to the ______ with the kids yesterday.,"garden, gardens",garden
I went to the garden with the ______ yesterday.,"kids, kid",kids
I went to the garden with the kids ______.,"yesterday, yesterdays",yesterday
"______, I have nothing special to do.","Today, Todays",Today
We will talk about that ______.,"tomorrow, tomorrows",tomorrow
My ______ has finally arrived.,"letter, letters",letter
He lives far from ______.,"downtown, downtowns",downtown
It happened next to our ______.,"house, houses",house
"The more I think about it, the more I am satisfied with my ______.","choice, choices",choice
"Go read somewhere else, the ______ needs to sleep.","girl, girls",girl
He has almost finished his ______.,"meal, meals",meal
He too wants to join the ______.,"project, projects",project
They are going to the ______ together tomorrow.,"cinema, cinemas",cinema
They are going to the cinema together ______.,"tomorrow, tomorrows",tomorrow
The ______ is burried behind the house.,"dog, dogs",dog
The dog is burried behind the ______.,"house, houses",house
He looked for his ______ in the wardrobe but he did not thought about looking over it.,"jacket, jackets",jacket
He looked for his jacket in the ______ but he did not thought about looking over it.,"wardrobe, wardrobes",wardrobe
"My ______ is no longer on the table, he might have fallen underneath it.","book, books",book
"My book is no longer on the ______, he might have fallen underneath it.","table, tables",table
Do not let the ______ walk on the table.,"cat, cats",cat
Do not let the cat walk on the ______.,"table, tables",table
The ______ is between the chemist and the bus stop.,"bank, banks",bank
The bank is between the ______ and the bus stop.,"chemist, chemists",chemist
The bank is between the chemist and the ______ stop.,"bus, buses",bus
He arrived an ______ before the show.,"hour, hours",hour
He arrived an hour before the ______.,"show, shows",show
Your ______ will come after lunch.,"brother, brothers",brother
Your brother will come after ______.,"lunch, lunches",lunch
The ______ are next to the glasses.,"plates, plate",plates
The plates are next to the ______.,"glasses, glass",glasses
We only have two ______.,"children, childrens",children
Do you really want to go to the ______?,"cinema, cinemas",cinema
He came by for a ______ and then he left.,"bit, bits",bit
The ______ are under the sink.,"sponges, sponge",sponges
The sponges are under the ______.,"sink, sinks",sink
"Speaking about your ______, how did your exams go?","studies, study",studies
"Speaking about your studies, how did your ______ go?","exams, exam",exams
The ______ left the toys out of the box.,"kids, kid",kids
The kids left the ______ out of the box.,"toys, toy",toys
The kids left the toys out of the ______.,"box, boxes",box
The ______ stays inside the house all day long.,"cat, cats",cat
The cat stays inside the ______ all day long.,"house, houses",house
The cat stays inside the house all ______ long.,"day, days",day
The ______ are playing outside.,"kids, kid",kids
The ______ is in the fridge.,"rice, rices",rice
The rice is in the ______.,"fridge, fridges",fridge
She comes regularly to give him French ______.,"lessons, lesson",lessons
The ______ crisis has recently gotten worse.,"debt, debts",debt
The debt ______ has recently gotten worse.,"crisis, crises",crisis
He has planned his ______ wisely.,"work, works",work
I can possibly come this ______ if you want to.,"weekend, weekends",weekend
"Immediatly after the ______, he went on holidays.","elections, election",elections
"Immediatly after the elections, he went on ______.","holidays, holiday",holidays
I completely forgot to bring you back your ______.,"book, books",book
He bound the ______ together firmly with a rope.,"boles, bole",boles
He bound the boles together firmly with a ______.,"rope, ropes",rope
"Honestly, do you think your ______ will change anything?","opinion, opinions",opinion
His ______ simply dropped university.,"son, sons",son
His son simply dropped ______.,"university, universities",university
______ periodically devastate crops.,"Crickets, Cricketss",Crickets
Crickets periodically devastate ______.,"crops, crop",crops
The ______ could potentially go out of control.,"situation, situations",situation
The situation could potentially go out of ______.,"control, controls",control
They obviously did not answer the ______.,"provocation, provocations",provocation
He calmly did his ______ again from the beginning.,"calculations, calculation",calculations
He calmly did his calculations again from the ______.,"beginning, beginnings",beginning
They spoke ______ evening for a long time and they have patched things up.,"yesterday, yesterdays",yesterday
They spoke yesterday ______ for a long time and they have patched things up.,"evening, evenings",evening
They spoke yesterday evening for a long ______ and they have patched things up.,"time, times",time
The ______ widely suffered from the economic crisis.,"country, countries",country
The country widely suffered from the economic ______.,"crisis, crises",crisis
There surely is a better ______.,"explanation, explanations",explanation
It is precisely for this ______ that I did not come.,"reason, reasons",reason
He does this ______ mechanically.,"movement, movements",movement
He distributed his ______ generously.,"lands, land",lands
The ______ protects her child instictively.,"mother, mothers",mother
The mother protects her ______ instictively.,"child, children",child
I think I saw a ______.,"panther, panthers",panther
The ______ scampered at the sight of the lion.,"antelope, antelopes",antelope
The antelope scampered at the ______ of the lion.,"sight, sights",sight
The antelope scampered at the sight of the ______.,"lion, lions",lion
The Guinea ______ is a rodent.,"pig, pigs",pig
The Guinea pig is a ______.,"rodent, rodents",rodent
The ______ is biting the bars of its cage.,"hamster, hamsters",hamster
The hamster is biting the ______ of its cage.,"bars, bar",bars
The hamster is biting the bars of its ______.,"cage, cages",cage
Pink ______ can live in extreme conditions.,"flamingos, flamingo",flamingos
Pink flamingos can live in extreme ______.,"conditions, condition",conditions
The ______ ran over in its burrow.,"rabbit, rabbits",rabbit
The rabbit ran over in its ______.,"burrow, burrows",burrow
The ______ was blinded by the headlights.,"hare, hares",hare
The hare was blinded by the ______.,"headlights, headlight",headlights
The ______ jumped out from the tree.,"squirrel, squirrels",squirrel
The squirrel jumped out from the ______.,"tree, trees",tree
The ______ rushed at the little boy.,"goose, geese",goose
The goose rushed at the little ______.,"boy, boys",boy
The ______ clucked when it saw the ______ cock.,"turkey, turkeys",turkey
The ______ clucked when it saw the ______ cock.,"turkey, turkeys",turkey
The turkey clucked when it saw the turkey ______.,"cock, cocks",cock
The ______ was eaten yesterday night,"turkey, turkeys",turkey
The turkey was eaten ______ night,"yesterday, yesterdays",yesterday
The turkey was eaten yesterday ______,"night, nights",night
The ______ is in alarm.,"doe, does",doe
The doe is in ______.,"alarm, alarms",alarm
The ______ is being chased by the dogs.,"deer, deer",deer
The deer is being chased by the ______.,"dogs, dog",dogs
The ______ suckles from its mother.,"fawn, fawns",fawn
The fawn ______ from its mother.,"suckles, suckle",suckles
The fawn suckles from its ______.,"mother, mothers",mother
The ______ giggled loudly.,"hyena, hyenas",hyena
______ have one bump while camels have two.,"Dromedaries, Dromedarieses",Dromedaries
Dromedaries have one ______ while camels have two.,"bump, bumps",bump
Dromedaries have one bump while ______ have two.,"camels, camel",camels
A scorpio ______ can be deadly.,"sting, stings",sting
The ______ curled up to protect himself.,"hedgehog, hedgehogs",hedgehog
The ______ put its head back into its carapace.,"turtle, turtles",turtle
The turtle put its ______ back into its carapace.,"head, heads",head
The turtle put its head back into its ______.,"carapace, carapaces",carapace
Kangaroo ______ can reach up to 13 meters.,"leaps, leap",leaps
Kangaroo leaps can reach up to 13 ______.,"meters, meter",meters
Koalas are very dependent upon ______ leaves for their survival.,"eucalyptus, eucalyptuses",eucalyptus
Koalas are very dependent upon eucalyptus leaves for their ______.,"survival, survivals",survival
The Nile Perch made many ______ disappear recently.,"fishes, fish",fishes
The ______ is a common fish of our rivers.,"carp, carp",carp
The carp is a common ______ of our rivers.,"fish, fish",fish
The carp is a common fish of our ______.,"rivers, river",rivers
______ are freshwater fish.,"Trouts, Troutss",Trouts
Trouts are ______ fish.,"freshwater, freshwaters",freshwater
Trouts are freshwater ______.,"fish, fish",fish
The ______ has been eaten by the cat.,"goldfish, goldfish",goldfish
The goldfish has been eaten by the ______.,"cat, cats",cat
"Your ______ is full of mites, you should treat it.","canari, canaris",canari
"Your canari is full of ______, you should treat it.","mites, mite",mites
The triton went out of the ______.,"pond, ponds",pond
______ have a particularly developed sense of smell.,"Leeches, Leecheses",Leeches
Leeches have a particularly developed ______ of smell.,"sense, senses",sense
Leeches have a particularly developed sense of ______.,"smell, smells",smell
______ use updrafts to move.,"Vultures, Vultureses",Vultures
Vultures use ______ to move.,"updrafts, updraft",updrafts
Red ______ is intensively fished.,"tuna, tuna",tuna
Do you want to take another ______ of salmon?,"slice, slices",slice
Do you want to take another slice of ______?,"salmon, salmon",salmon
This ______ has a claw which is bigger than its other one.,"crab, crabs",crab
This crab has a ______ which is bigger than its other one.,"claw, claws",claw
Do you also eat the ______ of the shrimp?,"head, heads",head
Do you also eat the head of the ______?,"shrimp, shrimps",shrimp
Your ______ is gathering shells on the beach.,"son, sons",son
Your son is gathering ______ on the beach.,"shells, shell",shells
Your son is gathering shells on the ______.,"beach, beaches",beach
The ______ went out of its shell.,"snail, snails",snail
The snail went out of its ______.,"shell, shells",shell
The little ______ threw the starfish away into the sea.,"girl, girls",girl
The little girl threw the ______ away into the sea.,"starfish, starfish",starfish
The little girl threw the starfish away into the ______.,"sea, seas",sea
______ are eaten with French fries in Belgium.,"Mussels, Musselss",Mussels
Mussels are eaten with French ______ in Belgium.,"fries, fry",fries
______ are eaten alive.,"Oysters, Oysterss",Oysters
The ______ released some ink to make its escape easier.,"octopus, octopuses",octopus
The octopus released some ______ to make its escape easier.,"ink, inks",ink
The octopus released some ink to make its ______ easier.,"escape, escapes",escape
A crushed ______ emits a strong smell.,"bug, bugs",bug
A crushed bug emits a strong ______.,"smell, smells",smell
The ______ shifted colour once more.,"chameleon, chameleons",chameleon
The chameleon shifted ______ once more.,"colour, colours",colour
______ can move on dry land.,"Eels, Eelss",Eels
Eels can move on dry ______.,"land, lands",land
______ stings are very painful.,"Horseflies, Horseflieses",Horseflies
Horseflies ______ are very painful.,"stings, sting",stings
Praying ______ eat their male after mating.,"mantis, mantises",mantis
Praying mantis eat their ______ after mating.,"male, males",male
Praying mantis eat their male after ______.,"mating, matings",mating
"The ______ is full of moths, clothes have been eaten up.","flat, flats",flat
"The flat is full of ______, clothes have been eaten up.","moths, moth",moths
"The flat is full of moths, ______ have been eaten up.","clothes, clothe",clothes
The ______ has been refusing to sing for weeks.,"canary, canaries",canary
The canary has been refusing to sing for ______.,"weeks, week",weeks
The ______ coaked loudly.,"crow, crows",crow
The ______ held a piece of cheese in his beak.,"raven, ravens",raven
The raven held a ______ of cheese in his beak.,"piece, pieces",piece
The raven held a piece of ______ in his beak.,"cheese, cheeses",cheese
The ______ is perched in the tree.,"heron, herons",heron
The heron is perched in the ______.,"tree, trees",tree
The ______ hooted all night long.,"owl, owls",owl
The owl hooted all ______ long.,"night, nights",night
The ______ spit a ball.,"owl, owls",owl
The owl spit a ______.,"ball, balls",ball
The ______ can fly over large distances.,"albatros, albatro",albatros
The albatros can fly over large ______.,"distances, distance",distances
The ______ landed on a rock.,"seagull, seagulls",seagull
The seagull landed on a ______.,"rock, rocks",rock
The ______ is making faces.,"chimpazee, chimpazees",chimpazee
The chimpazee is making ______.,"faces, face",faces
The ______ is sensitive to river pollution.,"otter, otters",otter
The otter is sensitive to ______ pollution.,"river, rivers",river
The otter is sensitive to river ______.,"pollution, pollutions",pollution
The ______ washes its food before eating it.,"raccoon, raccoons",raccoon
The raccoon washes its ______ before eating it.,"food, foods",food
The ______-worm was plunged into boiling water.,"silk, silks",silk
The silk-______ was plunged into boiling water.,"worm, worms",worm
The silk-worm was plunged into ______ water.,"boiling, boilings",boiling
"I would like a ______ with achovies, please.","pizza, pizzas",pizza
"I would like a pizza with ______, please.","achovies, achovy",achovies
A ______ of sardines has been spotted by a helicopter.,"school, schools",school
A school of ______ has been spotted by a helicopter.,"sardines, sardine",sardines
A school of sardines has been spotted by a ______.,"helicopter, helicopters",helicopter
______ are a typical dish of southern France.,"Squids, Squidss",Squids
Squids are a typical ______ of southern France.,"dish, dishes",dish
The ______ is a fish which merges with sand.,"sole, soles",sole
The sole is a ______ which merges with sand.,"fish, fish",fish
The sole is a fish which merges with ______.,"sand, sands",sand
The ______ of the ray can contain a lethal venom.,"tail, tails",tail
The tail of the ______ can contain a lethal venom.,"ray, rays",ray
The tail of the ray can contain a lethal ______.,"venom, venoms",venom
______ and slugs are molluscs.,"Snails, Snailss",Snails
Snails and ______ are molluscs.,"slugs, slug",slugs
Snails and slugs are ______.,"molluscs, mollusc",molluscs
______ live mostly in Australia.,"Marsupials, Marsupialss",Marsupials
______ are not fishes but marine mammals.,"Dolphins, Dolphinss",Dolphins
Dolphins are not ______ but marine mammals.,"fishes, fish",fishes
Dolphins are not fishes but marine ______.,"mammals, mammal",mammals
He has three ______ stings in the foot.,"ursin, ursins",ursin
He has three ursin ______ in the foot.,"stings, sting",stings
He has three ursin stings in the ______.,"foot, feet",foot
The ______ finally killed the cobra.,"mangoose, mangeese",mangoose
The mangoose finally killed the ______.,"cobra, cobras",cobra
The ______ opened the walnut with its beak.,"crow, crows",crow
The crow opened the ______ with its beak.,"walnut, walnuts",walnut
The crow opened the walnut with its ______.,"beak, beaks",beak
______ live in small groups.,"Jackals, Jackalss",Jackals
Jackals live in small ______.,"groups, group",groups
______ cross the road carefully,"Millipedes, Millipedeses",Millipedes
Millipedes cross the ______ carefully,"road, roads",road
______ live in the litter.,"Centipedes, Centipedeses",Centipedes
Centipedes live in the ______.,"litter, litters",litter
______ are eaten in Southeast Asia.,"Tarentulas, Tarentulass",Tarentulas
______ and shrimps are crustaceans.,"Crabs, Crabss",Crabs
Crabs and ______ are crustaceans.,"shrimps, shrimp",shrimps
Crabs and shrimps are ______.,"crustaceans, crustacean",crustaceans
______ are victims of overfishing.,"Cods, Codss",Cods
Cods are ______ of overfishing.,"victims, victim",victims
The ______ of this octopus are at least two meters long.,"tentacles, tentacle",tentacles
The tentacles of this ______ are at least two meters long.,"octopus, octopuses",octopus
The tentacles of this octopus are at least two ______ long.,"meters, meter",meters
Lobster is a very pricey ______.,"meal, meals",meal
The ______ swallowed three fishes at a time.,"pelican, pelicans",pelican
The pelican swallowed three ______ at a time.,"fishes, fish",fishes
The pelican swallowed three fishes at a ______.,"time, times",time
Plancton is at the ______ of the food chain.,"base, bases",base
Plancton is at the base of the ______ chain.,"food, foods",food
Plancton is at the base of the food ______.,"chain, chains",chain
______ metamophose into frogs after a few weeks.,"Tadpoles, Tadpoleses",Tadpoles
Tadpoles metamophose into ______ after a few weeks.,"frogs, frog",frogs
Tadpoles metamophose into frogs after a few ______.,"weeks, week",weeks
The ______ nested on the chimney.,"stork, storks",stork
The stork nested on the ______.,"chimney, chimneys",chimney
The ______ is making its cocoon.,"caterpillar, caterpillars",caterpillar
The caterpillar is making its ______.,"cocoon, cocoons",cocoon
The ______ is digging its burrow.,"marmot, marmots",marmot
The marmot is digging its ______.,"burrow, burrows",burrow
The ______ of this animal is very expensive.,"fur, furs",fur
The fur of this ______ is very expensive.,"animal, animals",animal
The ______ of the cow is used to make leather.,"skin, skins",skin
The skin of the ______ is used to make leather.,"cow, cows",cow
The skin of the cow is used to make ______.,"leather, leathers",leather
The ______ of the cat are retractile.,"claws, claw",claws
The claws of the ______ are retractile.,"cat, cats",cat
The ______ of the cat were covered with blood.,"fangs, fang",fangs
The fangs of the ______ were covered with blood.,"cat, cats",cat
The fangs of the cat were covered with ______.,"blood, bloods",blood
There are ______ feathers all over the room.,"pigeon, pigeons",pigeon
There are pigeon ______ all over the room.,"feathers, feather",feathers
There are pigeon feathers all over the ______.,"room, rooms",room
The ______ giggles to impress the female ______.,"turkey, turkeys",turkey
The turkey ______ to impress the female turkey.,"giggles, giggle",giggles
The ______ giggles to impress the female ______.,"turkey, turkeys",turkey
______ bleated while on their way back to the stable.,"Sheep, Sheep",Sheep
Sheep bleated while on their ______ back to the stable.,"way, ways",way
The ______ neighed before galloping away.,"studhorse, studhorses",studhorse
You can hear a ______ cawing far away.,"crow, crows",crow
The ______ roared in the savanna.,"lion, lions",lion
The lion roared in the ______.,"savanna, savannas",savanna
______ moo when they are scared,"Cows, Cowss",Cows
Cows ______ when they are scared,"moo, moos",moo
The ______'s dog growled when he saw the children.,"neighbour, neighbours",neighbour
The neighbour's ______ growled when he saw the children.,"dog, dogs",dog
The neighbour's dog growled when he saw the ______.,"children, childrens",children
The ______ is meowing in front of the fridge.,"cat, cats",cat
The cat is meowing in ______ of the fridge.,"front, fronts",front
The cat is meowing in front of the ______.,"fridge, fridges",fridge
The ______ barked all night long.,"dogs, dog",dogs
The dogs barked all ______ long.,"night, nights",night
They sell ______ shells at the market.,"turtle, turtles",turtle
They sell turtle ______ at the market.,"shells, shell",shells
They sell turtle shells at the ______.,"market, markets",market
The ______ scales should be removed before putting it in the oven.,"fish, fish",fish
The fish ______ should be removed before putting it in the oven.,"scales, scale",scales
The fish scales should be removed before putting it in the ______.,"oven, ovens",oven
The ______ hurt his paw.,"cat, cats",cat
The cat hurt his ______.,"paw, paws",paw
A ______ fin alarmed the surfers.,"shark, sharks",shark
A shark ______ alarmed the surfers.,"fin, fins",fin
A shark fin alarmed the ______.,"surfers, surfer",surfers
______ rays do not constitute a good camouflage.,"Zebras, Zebrass",Zebras
Zebras ______ do not constitute a good camouflage.,"rays, ray",rays
Zebras rays do not constitute a good ______.,"camouflage, camouflages",camouflage
